id,category,question,expected_keywords,response,tokens,elapsed_s
1,factual,What is the capital of France?,paris,The capital of France is Paris.,9,1.77
2,factual,What is the capital of Spain?,madrid,Spain is located in the province of São Paulo.,14,2.32
3,factual,What is the capital of Germany?,berlin,The capital of Germany is Berlin.,9,1.76
4,factual,What is the capital of Italy?,rome,The capital of Italy is Rome.,9,1.74
5,factual,What is the capital of Japan?,tokyo,The capital of Japan is Tokyo.,9,1.84
6,factual,What is the capital of England?,london,The capital of England is London.,9,1.76
7,factual,What is the capital of Russia?,moscow,The capital of Russia is Moscow.,10,1.85
8,factual,What is the capital of Egypt?,cairo,The capital of Egypt is Cairo.,11,1.97
9,factual,What is the capital of Canada?,ottawa,Canada is the capital of the United States.,11,1.95
10,factual,What is the capital of Australia?,canberra,The capital of Australia is New South Wales.,11,1.95
11,factual,What is the largest planet in our solar system?,jupiter,The largest planet in our solar system is Earth.,12,2.40
12,factual,What is the smallest planet in our solar system?,mercury,The smallest planet in our solar system is Mercury.,12,2.43
13,factual,How many continents are there?,seven|7,There are 7 continents.,8,1.55
14,factual,How many oceans are there?,five|5|four|4,7.,5,1.25
15,factual,What is the chemical symbol for gold?,au,"The chemical symbol for gold is Au. Gold is a chemical element with symbol Au. It is a silvery-white metal with a melting point of 1,000 degrees Celsius.",38,4.84
16,factual,What is the chemical symbol for water?,h2o,The chemical symbol for water is H.,10,2.05
17,factual,What animal is the king of the jungle?,lion,The king of the jungle is the lion. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is the king of the jungle. He is,883,95.06
18,factual,Who painted the Mona Lisa?,leonardo|da vinci|davinci,The Mona Lisa was painted by the artist who painted it in 1912.,19,2.79
19,factual,Who wrote Romeo and Juliet?,shakespeare,Romeo and Juliet were two famous Italian writers who wrote Romeo and Juliet. They were both famous for their writing and their writing was popular in the 19th century.,39,4.98
20,factual,What is the longest river in the world?,nile|amazon,The longest river in the world is the Nile. It is 100 miles long and 200 miles wide.,26,3.76
21,math,What is 2 plus 2?,4|four,2 plus 2 equals 2.,11,2.06
22,math,What is 5 plus 3?,8|eight,5 plus 3 equals 5.,11,2.07
23,math,What is 10 minus 4?,6|six,10 minus 4 equals 10.,11,2.10
